1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
371,52,2009,15.0,1,0,3,2,1,60,1
0,50,2012,17.0,5,0,6,1,2,60,2
422,43,2013,21.0,7,0,3,1,1,50,2
458,63,2012,14.0,1,0,3,4,5,30,3
0,12,2005,17.0,3,0,6,1,1,30,3
0,1,2011,12.0,7,0,6,2,1,30,2
5201,5,2007,8.0,7,0,4,1,1,40,3
0,62,2012,16.0,7,0,6,2,1,60,2
411,41,2006,0.0,1,0,3,1,1,40,2
1010,1,2007,20.0,3,0,3,2,1,30,2
1,1,2009,13.0,3,1200,3,1,1,30,2
426,33,2013,13.0,1,4711,3,2,1,60,3
18,16,2011,6.0,5,0,3,3,4,40,1
112,11,2013,22.0,6,0,5,2,1,30,2
4418,60,2011,8.0,4,0,4,1,1,30,3
356,55,2010,10.0,1,0,3,2,5,60,2
164,16,2012,8.0,2,0,3,2,2,50,2
0,55,2009,14.0,1,0,6,2,1,30,2
584,4,2012,11.0,7,0,3,1,1,30,1
4,48,2013,22.0,5,4,3,1,1,30,2
6,33,2009,16.0,5,9408,3,2,2,60,1
0,14,2010,8.0,5,0,6,1,1,30,2
90,92,2014,15.0,1,0,3,2,1,40,1
1055,1,2011,5.0,7,0,3,2,1,30,1
682,4,2005,16.0,7,0,3,2,4,30,3
1,14,2007,18.0,3,629,1,4,5,70,1
28,46,2011,17.0,1,0,3,2,1,30,2
730,14,2009,4.0,1,0,5,3,1,30,3
27,44,2014,8.0,5,27,3,1,1,70,2
4017,52,2006,19.0,7,0,3,4,1,30,1
327,43,2014,6.0,6,0,3,2,1,40,1
0,1,2014,15.0,7,0,5,1,1,30,2
52,31,2006,17.0,6,28,3,2,1,60,3
1033,42,2011,16.0,2,0,4,4,2,30,3
465,62,2007,13.0,7,0,3,3,4,60,1
5276,5,2014,10.0,6,0,4,2,1,30,3
1393,42,2005,18.0,2,0,4,2,2,60,2
272,1,2010,8.0,2,0,4,2,1,30,2
248,45,2014,17.0,1,0,5,3,4,30,3
4114,33,2011,6.0,5,0,4,2,2,60,2
1231,16,2013,12.0,4,0,4,2,1,30,1
618,14,2010,8.0,6,0,3,1,1,30,3
4500,34,2005,18.0,7,-1,3,2,3,60,1
0,22,2014,15.0,4,0,6,1,1,30,1
33,47,2009,12.0,7,0,5,2,2,30,2
39,50,2014,11.0,1,0,3,3,2,60,1
3074,55,2013,13.0,7,0,4,2,4,30,3
3008,1,2009,23.0,4,0,3,1,1,30,1
4,43,2005,18.0,1,0,3,1,1,60,1
47,36,2005,11.0,7,123,3,2,1,60,1
3010,46,2009,19.0,3,0,6,2,1,30,2
38,20,2011,12.0,2,0,3,2,1,40,3
206,1,2010,17.0,2,0,3,2,1,30,3
607,33,2005,12.0,7,0,3,3,2,60,1
0,6,2005,9.0,6,0,6,1,1,30,2
4174,20,2011,7.0,1,0,4,1,1,30,3
354,55,2007,16.0,7,0,3,3,1,60,1
0,3,2012,10.0,4,0,6,1,1,30,2
1010,1,2013,17.0,5,0,3,2,1,30,2
402,1,2011,6.0,2,0,3,2,1,30,3
43,21,2005,14.0,4,0,6,2,1,60,3
174,1,2012,15.0,3,1112,4,2,2,30,3
9,96,2011,3.0,1,0,3,1,1,40,3
109,1,2006,9.0,4,0,3,2,1,30,3
38,50,2006,11.0,5,0,3,2,1,70,1
474,43,2005,9.0,3,526,4,1,1,30,2
83,97,2013,16.0,4,0,3,2,1,60,1
0,44,2009,17.0,4,0,6,2,1,30,3
0,60,2007,15.0,5,0,6,1,1,60,1
645,13,2010,12.0,1,0,3,2,2,30,3
0,1,2009,10.0,4,0,6,1,1,30,1
6107,13,2005,14.0,3,0,4,2,1,30,2
491,46,2011,15.0,6,0,5,2,1,30,3
0,22,2007,22.0,4,0,6,1,1,30,3
0,62,2009,20.0,1,0,6,1,3,30,1
0,63,2011,11.0,6,0,6,2,2,60,3
57,5,2006,17.0,6,0,3,1,1,30,2
4525,34,2011,20.0,2,0,4,2,4,50,1
5020,7,2013,19.0,6,0,3,1,1,60,1
0,44,2010,13.0,1,0,6,1,1,30,2
0,30,2013,20.0,1,0,6,2,1,30,2
0,42,2006,14.0,5,0,6,1,2,30,1
1075,36,2012,10.0,7,0,3,1,1,60,1
140,37,2014,3.0,1,0,3,1,1,50,1
1006,42,2013,7.0,2,0,4,2,1,30,1
173,50,2014,17.0,4,5,5,2,1,40,2
23,47,2005,17.0,5,0,1,2,1,70,3
240,45,2005,17.0,5,2022,3,2,1,30,3
0,52,2013,9.0,2,0,6,1,1,30,1
2,46,2012,22.0,4,0,3,1,1,70,3
1172,32,2007,16.0,5,0,4,1,1,30,3
158,41,2007,22.0,6,0,5,2,1,30,1
23,47,2010,16.0,5,0,1,1,1,70,2
696,10,2006,23.0,1,0,3,2,2,70,1
167,10,2005,17.0,5,126,3,2,1,30,3
2129,10,2014,12.0,1,2129,6,2,1,30,2
86,14,2006,10.0,7,0,5,1,1,30,1
0,4,2005,13.0,1,0,6,2,1,60,1
1009,1,2014,15.0,5,0,3,2,2,30,3
201,48,2013,17.0,4,0,3,3,2,30,3
0,42,2014,11.0,5,0,6,2,1,30,2
45,34,2010,15.0,3,6018,3,2,1,30,2
22,47,2005,14.0,5,2124,3,2,1,60,1
0,20,2006,18.0,7,0,6,2,1,30,2
0,4,2014,23.0,7,0,6,2,2,60,2
0,6,2013,13.0,4,0,5,2,1,20,2
1713,46,2007,13.0,2,0,6,1,1,30,1
0,13,2009,12.0,7,0,6,2,1,20,2
35,55,2014,8.0,6,3068,3,2,1,30,2
1063,37,2014,10.0,2,0,4,2,1,60,1
62,16,2009,20.0,4,0,1,1,1,70,3
0,20,2012,22.0,1,0,6,1,3,30,3
352,45,2011,8.0,6,0,6,1,1,30,2
198,95,2010,13.0,7,1345,3,2,1,60,3
1,33,2007,18.0,2,0,1,1,1,70,1
4,43,2009,7.0,7,327,3,2,1,30,3
0,30,2005,17.0,4,0,6,2,1,30,3
31,44,2005,16.0,4,0,3,1,1,70,1
1,1,2010,17.0,2,0,3,2,1,30,3
3021,44,2006,17.0,2,0,3,2,1,60,2
2050,46,2005,23.0,4,0,3,2,1,30,3
6036,13,2006,12.0,6,0,3,2,1,40,2
6189,6,2009,19.0,7,0,4,1,1,30,1
1000,1,2007,1.0,1,110,3,1,1,30,1
664,6,2013,10.0,1,0,3,3,2,30,3
1,1,2012,22.0,4,411,3,1,1,30,2
305,1,2009,14.0,3,0,4,1,1,30,3
2058,46,2011,23.0,4,0,4,2,4,60,1
610,31,2012,17.0,5,0,3,2,4,30,3
0,35,2005,17.0,6,0,6,2,1,30,3
609,30,2010,23.0,4,0,3,3,1,30,3
282,46,2007,8.0,2,0,3,2,2,50,3
4091,22,2009,19.0,6,0,4,1,2,30,1
0,92,2007,4.0,2,0,6,1,1,60,1
582,33,2010,19.0,7,4168,4,2,2,30,3
4206,22,2012,8.0,4,0,4,1,1,30,1
0,20,2005,8.0,3,0,6,1,2,30,1
4,1,2012,0.0,6,316,3,2,1,30,3
16,16,2005,1.0,6,46,3,1,1,30,1
304,1,2005,15.0,6,0,3,2,2,30,1
282,46,2013,21.0,6,0,3,2,1,40,3
379,50,2005,14.0,5,0,3,2,1,60,3
5105,4,2005,15.0,5,0,3,1,1,40,1
137,1,2011,8.0,5,0,4,3,2,30,2
0,47,2010,16.0,3,0,6,2,1,30,3
218,40,2007,15.0,5,0,6,1,1,30,2
3056,44,2007,14.0,5,0,3,3,3,50,1
5058,5,2005,12.0,7,567,3,1,1,30,3
271,47,2006,16.0,7,0,3,1,2,60,2
0,5,2012,13.0,6,0,6,1,1,30,3
5102,10,2010,11.0,7,0,6,1,1,30,3
0,42,2014,2.0,3,0,6,1,1,60,1
1,12,2014,11.0,2,0,2,2,5,70,2
49,22,2014,16.0,7,0,3,4,2,60,3
11,35,2006,5.0,6,0,1,3,1,70,1
0,95,2005,18.0,5,0,6,2,1,30,3
38,52,2014,19.0,2,0,3,2,6,40,2
4520,63,2014,20.0,2,0,4,1,1,60,2
6,55,2009,9.0,6,0,5,2,1,60,1
0,20,2007,10.0,3,0,6,2,2,30,1
339,35,2005,18.0,3,0,5,3,1,30,1
1104,32,2014,16.0,6,0,3,3,8,60,1
4130,43,2005,8.0,6,0,3,2,1,60,1
265,47,2009,20.0,2,0,3,2,1,30,2
14,37,2009,8.0,5,14,3,3,1,70,2
11,36,2007,15.0,6,1077,3,3,5,70,3
1,95,2010,19.0,4,0,3,2,1,70,1
0,4,2006,22.0,5,0,6,2,4,30,2
3192,50,2014,12.0,5,0,4,3,1,60,3
540,7,2007,9.0,1,0,3,3,2,60,1
105,1,2006,10.0,6,0,3,2,1,30,2
0,1,2005,3.0,2,0,5,1,1,30,3
46,32,2010,11.0,6,0,3,3,1,60,1
303,52,2010,19.0,6,0,3,1,1,60,2
45,34,2006,10.0,3,0,3,4,2,70,1
0,97,2013,1.0,3,0,6,1,1,30,2
5,60,2005,17.0,1,0,3,2,1,60,1
5266,4,2007,8.0,4,0,4,1,1,30,2
13,1,2005,20.0,3,0,3,3,4,70,2
397,44,2013,23.0,1,0,3,2,1,30,3
2214,1,2012,19.0,5,0,3,2,1,30,2
857,91,2010,14.0,6,0,3,1,1,40,1
5,21,2009,23.0,7,0,3,1,1,60,3
