1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
61,13,2009,6.0,7,0,3,1,1,30,0
2030,44,2013,13.0,5,2152,3,2,1,30,1
404,1,2012,9.0,5,411,3,1,1,30,1
35,55,2013,13.0,3,0,3,1,1,70,0
77,97,2012,11.0,2,0,1,2,1,70,0
5103,6,2013,9.0,2,0,3,6,3,50,0
5114,33,2014,7.0,3,5116,5,2,1,30,0
0,20,2014,19.0,1,0,6,2,2,30,1
0,4,2006,15.0,5,0,6,1,1,30,0
5217,33,2010,18.0,3,5234,6,2,1,30,0
129,11,2007,19.0,5,0,5,1,1,60,1
259,47,2005,10.0,4,0,3,2,1,60,1
62,6,2014,8.0,4,0,3,1,1,30,1
609,30,2014,15.0,4,6007,3,2,1,30,1
404,1,2012,16.0,6,0,3,1,2,30,1
0,52,2014,19.0,2,0,6,1,1,30,0
5033,7,2014,12.0,6,0,3,2,1,30,0
320,43,2005,18.0,4,0,6,1,1,30,1
184,31,2014,16.0,3,610,5,1,1,30,1
0,40,2006,8.0,3,0,6,2,1,60,0
232,1,2006,17.0,5,0,3,1,1,30,0
749,97,2009,19.0,6,0,3,2,1,30,1
686,3,2005,13.0,7,0,3,2,1,60,0
3109,54,2011,10.0,4,0,4,2,1,30,0
0,5,2012,12.0,6,0,6,1,1,30,0
50,7,2014,19.0,5,0,3,2,1,30,0
2177,44,2007,14.0,6,0,4,2,3,60,0
40,1,2014,15.0,2,0,3,2,1,30,1
0,1,2013,17.0,6,0,5,2,1,30,1
0,6,2006,11.0,3,0,5,1,1,30,0
387,50,2011,8.0,1,0,3,2,2,50,0
3072,50,2012,3.0,7,0,3,2,2,60,0
0,1,2013,9.0,3,0,5,2,1,30,1
5010,30,2014,20.0,3,6,4,2,3,30,0
0,95,2010,12.0,6,900,6,1,1,30,0
3072,55,2010,14.0,1,0,4,1,1,60,1
1078,37,2014,12.0,2,0,4,2,1,60,1
5260,4,2014,14.0,2,5259,4,2,1,20,1
236,35,2009,11.0,6,0,5,1,1,60,0
256,46,2011,15.0,7,0,3,2,1,70,1
39,50,2014,8.0,5,0,3,3,1,60,1
236,1,2012,7.0,2,0,3,3,1,30,1
5368,21,2014,14.0,3,365,4,2,1,30,1
4128,33,2009,14.0,2,4131,6,2,1,30,1
49,22,2014,16.0,7,0,3,4,2,60,1
0,31,2007,18.0,7,0,6,1,1,60,0
30,45,2010,15.0,3,0,3,2,1,50,1
5152,60,2009,15.0,6,483,3,2,3,30,1
90,95,2009,7.0,5,0,3,2,1,30,1
5183,41,2007,14.0,5,0,3,2,3,30,1
57,31,2011,16.0,7,0,3,2,2,60,1
1211,48,2011,21.0,4,0,3,2,1,30,1
650,13,2010,7.0,5,647,3,2,2,40,1
1032,17,2014,16.0,4,0,3,1,1,30,1
25,41,2006,17.0,6,0,1,2,1,70,1
152,1,2011,23.0,6,0,4,2,1,30,0
0,95,2006,16.0,5,0,6,1,1,40,0
7038,97,2005,16.0,3,0,4,1,1,30,0
402,1,2011,17.0,6,40,3,1,1,30,1
0,50,2007,15.0,6,0,6,3,2,30,1
6190,6,2006,12.0,1,0,4,2,1,30,1
38,53,2005,18.0,4,38,3,2,1,40,1
414,42,2014,19.0,5,0,3,2,3,60,0
6,3,2005,7.0,4,0,1,1,1,70,0
380,53,2011,16.0,7,0,5,2,2,30,1
0,62,2011,12.0,1,0,6,2,2,60,1
4540,20,2011,7.0,2,0,3,1,1,40,0
0,50,2009,20.0,6,0,6,1,1,30,1
180,16,2012,10.0,4,0,3,2,1,70,1
0,16,2013,23.0,4,0,6,1,1,60,0
0,6,2014,8.0,3,0,6,3,1,30,1
0,4,2006,22.0,5,0,6,3,3,30,0
552,5,2013,9.0,4,0,3,2,2,30,0
0,6,2012,8.0,3,0,6,1,1,30,0
653,13,2013,0.0,6,0,3,1,1,40,0
1120,37,2010,21.0,2,9999,3,2,1,40,1
0,32,2012,16.0,6,0,6,2,1,40,1
0,44,2006,3.0,1,0,6,1,1,30,1
1065,37,2009,17.0,3,0,3,2,1,30,1
24,1,2010,17.0,4,0,3,2,1,30,1
640,6,2005,14.0,1,664,3,2,1,30,1
3022,43,2010,20.0,2,7007,4,2,1,40,0
134,37,2010,15.0,4,759,3,2,1,30,1
0,20,2005,13.0,5,0,6,2,1,30,1
0,22,2012,18.0,1,0,6,1,1,30,1
361,50,2014,15.0,1,0,3,4,2,60,0
6194,6,2014,23.0,1,0,4,2,2,30,1
6267,12,2006,0.0,4,0,4,1,1,60,0
454,21,2013,14.0,1,0,3,2,1,50,1
117,1,2011,16.0,5,117,3,2,1,30,0
6080,14,2007,10.0,5,0,4,1,1,30,0
606,33,2006,0.0,7,0,3,1,1,60,1
619,30,2011,23.0,7,0,3,2,6,60,0
999,92,2009,16.0,2,0,4,2,1,60,0
4149,20,2014,20.0,2,0,4,2,1,30,0
6422,13,2009,18.0,2,0,4,2,3,60,1
1046,7,2011,16.0,2,0,5,2,2,30,1
181,43,2010,17.0,6,0,6,2,1,30,1
35,55,2011,11.0,1,0,5,2,1,60,0
0,37,2014,10.0,7,453,6,2,1,30,1
0,1,2011,19.0,4,0,6,1,2,30,1
46,32,2010,11.0,6,0,3,3,1,60,0
16,32,2009,22.0,4,0,3,1,1,60,0
4290,62,2005,14.0,6,0,4,2,1,30,1
0,20,2012,16.0,4,0,6,2,2,30,0
0,5,2012,22.0,1,0,6,2,1,30,0
0,5,2011,17.0,6,0,6,1,1,30,1
0,1,2009,8.0,6,0,6,2,1,30,0
191,10,2010,17.0,4,126,3,2,1,30,1
635,14,2007,3.0,7,0,3,3,1,40,1
0,97,2007,17.0,1,0,6,1,3,30,1
70,95,2010,7.0,5,0,3,2,1,30,1
4,62,2011,12.0,5,0,1,1,1,70,0
74,97,2006,11.0,3,0,3,2,1,30,0
0,97,2006,12.0,2,0,6,2,1,30,1
39,50,2014,11.0,1,0,3,3,2,60,0
0,42,2012,12.0,5,0,6,1,1,30,0
0,12,2005,17.0,3,0,6,1,1,30,1
516,30,2005,18.0,5,0,3,2,1,30,1
0,42,2005,20.0,6,0,6,2,3,30,0
3066,55,2010,17.0,4,0,4,2,1,30,0
1000,1,2012,10.0,2,0,3,2,1,30,1
0,32,2011,17.0,6,1397,6,1,1,30,1
3049,55,2006,1.0,3,0,3,1,1,30,1
641,13,2014,18.0,4,0,3,3,4,40,0
116,45,2007,12.0,1,115,6,3,3,60,0
768,97,2006,11.0,4,0,4,2,2,30,0
452,20,2006,20.0,5,0,3,1,3,40,1
