1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
323,10,2013,9.0,2,319,5,1,1,30,1
56,6,2009,11.0,7,5014,3,2,1,30,2
38,53,2005,18.0,4,38,3,2,1,40,3
236,1,2011,22.0,7,271,3,2,1,30,2
322,43,2006,23.0,2,7002,3,1,1,30,2
25,45,2006,6.0,5,0,1,1,1,70,3
6,4,2005,15.0,4,0,3,1,2,60,2
2,1,2009,9.0,5,0,3,2,1,30,3
23,47,2012,17.0,4,0,3,2,1,60,3
642,13,2010,2.0,2,0,3,1,2,30,3
9410,33,2005,18.0,7,7428,5,2,1,30,3
19,11,2011,6.0,2,19,3,3,1,70,3
167,10,2005,17.0,5,126,3,2,1,30,3
0,13,2006,15.0,1,0,6,2,1,30,2
635,14,2009,13.0,3,0,3,3,3,40,3
34,20,2010,13.0,2,0,3,1,1,30,2
474,62,2005,14.0,2,465,3,2,2,70,3
6421,13,2010,11.0,1,0,4,2,1,60,3
1018,10,2005,17.0,3,0,3,3,1,30,3
3041,44,2005,17.0,7,0,4,1,1,40,3
4251,41,2005,18.0,6,127,3,4,2,30,3
6076,14,2010,16.0,5,0,4,1,2,30,3
0,1,2013,18.0,6,0,6,2,1,30,3
0,1,2014,17.0,7,0,5,3,1,30,3
11,37,2012,21.0,6,0,3,3,1,60,3
272,1,2014,2.0,1,0,4,2,1,30,3
573,34,2007,17.0,3,87,4,2,1,60,2
0,4,2011,12.0,4,0,6,2,1,60,3
1070,37,2009,16.0,3,4201,4,1,1,60,3
9080,95,2010,17.0,5,0,4,1,1,30,3
22,45,2006,17.0,3,0,3,2,1,50,2
0,14,2007,17.0,5,0,6,2,1,30,3
5085,4,2005,14.0,3,0,3,2,1,30,3
31,44,2011,17.0,6,31,3,2,1,70,3
62,6,2012,10.0,7,0,1,2,1,70,3
3059,55,2007,22.0,6,0,4,2,5,40,2
1,14,2005,19.0,3,0,2,2,1,70,3
444,23,2009,16.0,4,0,3,4,1,40,3
7,14,2007,21.0,6,0,5,2,2,60,3
27,44,2011,8.0,6,0,3,2,1,30,3
2,46,2007,16.0,5,0,3,1,1,40,3
44,22,2009,21.0,6,44,3,2,1,30,3
0,42,2005,19.0,4,0,6,1,1,20,3
0,97,2012,9.0,3,0,6,1,1,30,2
6,21,2009,14.0,3,0,1,2,1,70,3
56,4,2005,8.0,1,6068,3,2,2,60,3
0,97,2009,17.0,4,0,6,1,1,30,3
432,52,2005,12.0,3,0,3,4,1,30,3
219,1,2011,15.0,6,0,3,2,1,30,3
0,1,2009,18.0,2,0,6,2,1,30,3
0,13,2005,16.0,3,0,6,2,4,30,3
465,62,2014,15.0,4,0,3,3,3,70,3
0,1,2006,18.0,6,1112,5,2,2,30,3
0,16,2005,19.0,6,0,6,1,1,30,3
0,40,2006,15.0,2,0,6,1,1,20,3
4492,1,2013,6.0,5,4492,4,2,1,30,3
435,23,2009,19.0,5,-1,3,2,1,50,2
0,42,2012,16.0,5,0,6,4,2,60,3
315,1,2007,18.0,6,0,3,2,1,30,3
4102,23,2005,7.0,4,0,4,1,2,60,3
0,7,2011,15.0,2,0,6,2,1,30,3
1023,42,2005,14.0,4,0,3,1,1,30,3
643,13,2012,14.0,4,6127,3,2,1,30,3
245,45,2011,11.0,4,0,3,2,1,30,3
320,43,2009,15.0,6,0,6,2,1,30,3
140,36,2005,14.0,4,0,3,2,1,30,2
24,1,2010,18.0,6,0,3,3,1,30,3
30,1,2006,10.0,5,30,3,2,1,50,3
197,10,2007,13.0,2,197,3,2,1,30,3
0,52,2007,22.0,2,-1,6,2,1,30,3
0,1,2012,20.0,6,0,6,2,1,30,3
4,62,2007,17.0,6,0,1,1,4,70,1
0,16,2010,16.0,3,0,6,2,1,30,2
6120,13,2010,18.0,3,0,3,2,1,40,3
0,20,2010,16.0,6,0,6,3,2,30,3
9999,41,2005,6.0,6,0,6,2,1,70,3
3054,44,2014,6.0,3,0,3,1,1,60,3
3220,1,2011,22.0,3,0,3,2,1,30,3
6126,13,2012,16.0,6,0,4,1,1,30,3
0,1,2013,19.0,3,0,5,2,1,30,3
487,63,2007,13.0,2,0,3,2,1,60,3
23,47,2005,8.0,3,0,3,1,1,30,3
659,40,2010,17.0,4,0,4,2,1,30,3
376,45,2007,14.0,4,0,4,3,1,30,3
413,43,2014,13.0,6,0,3,1,1,70,3
28,46,2013,0.0,6,0,3,2,1,60,2
487,63,2012,11.0,6,0,3,2,1,60,3
10,47,2007,13.0,7,0,5,1,1,60,3
484,63,2005,0.0,6,0,3,1,1,30,3
3,1,2007,11.0,3,201,3,1,1,30,3
1,10,2005,19.0,2,0,3,2,1,70,3
40,43,2014,5.0,7,0,1,1,1,70,3
1065,36,2014,16.0,4,0,3,2,1,60,3
0,1,2009,10.0,4,0,5,3,2,30,3
540,5,2013,12.0,7,0,3,2,3,30,2
718,47,2012,8.0,6,0,5,2,2,30,3
56,6,2005,13.0,3,0,3,1,1,30,3
61,30,2014,14.0,2,0,3,2,1,30,3
495,22,2012,17.0,6,0,3,2,1,60,3
506,4,2010,21.0,6,0,3,1,1,60,3
350,55,2013,11.0,7,0,3,2,1,60,3
0,32,2005,12.0,2,0,6,2,1,30,3
684,12,2012,5.0,5,0,6,1,1,60,3
3,45,2009,15.0,1,0,3,2,3,70,3
6110,13,2005,17.0,5,616,4,1,1,30,3
0,62,2009,18.0,4,0,6,2,1,30,3
0,4,2013,17.0,3,0,6,2,1,30,2
0,20,2013,15.0,4,0,6,2,4,30,3
0,52,2011,23.0,5,0,6,2,1,30,2
1244,45,2012,9.0,1,0,6,1,1,30,3
62,7,2010,14.0,3,0,1,3,2,70,3
0,1,2009,9.0,5,3000,5,2,1,30,3
1288,10,2007,13.0,3,194,4,2,1,60,3
258,46,2007,18.0,3,0,3,2,3,50,1
0,1,2007,11.0,2,0,5,1,1,30,3
0,3,2009,13.0,2,0,6,1,1,60,3
572,6,2006,6.0,4,579,3,2,2,30,3
2,1,2006,18.0,5,0,3,2,2,50,3
465,22,2014,9.0,6,0,3,2,2,30,3
20,41,2009,15.0,6,0,6,3,2,30,3
0,1,2007,10.0,6,0,5,2,1,30,3
0,14,2013,14.0,3,0,6,1,1,30,3
0,5,2006,15.0,5,0,6,2,2,30,3
0,62,2007,12.0,6,0,6,2,1,30,3
4114,33,2005,7.0,6,0,4,2,1,60,3
420,43,2006,14.0,5,0,3,2,1,30,3
1010,1,2007,20.0,3,0,3,2,1,30,2
0,52,2014,15.0,7,0,6,1,1,30,3
1,40,2009,13.0,4,1,1,2,1,70,3
0,1,2014,13.0,1,0,6,2,1,30,3
0,16,2014,13.0,2,0,6,2,1,30,3
0,6,2009,17.0,2,0,6,1,1,30,3
0,44,2006,10.0,1,0,6,1,1,30,2
0,95,2011,18.0,6,0,5,2,1,30,3
0,1,2014,20.0,5,0,6,1,1,30,3
23,45,2009,12.0,3,25,3,1,1,30,3
6004,31,2006,14.0,3,0,4,2,1,30,2
874,91,2010,10.0,3,0,4,2,2,30,3
244,1,2012,17.0,3,0,3,1,1,30,2
5261,4,2005,8.0,6,0,4,1,2,30,3
0,4,2012,15.0,2,0,6,2,1,20,3
0,60,2012,9.0,5,0,6,1,2,30,3
674,4,2005,11.0,1,61,3,2,2,50,3
46,23,2014,16.0,3,46,3,2,2,50,3
4540,20,2006,10.0,6,441,3,2,3,40,3
0,52,2009,21.0,6,0,6,2,1,30,3
456,20,2011,20.0,2,0,3,2,1,30,3
749,97,2005,14.0,7,0,3,3,2,40,3
0,14,2005,11.0,6,0,6,1,1,30,3
0,62,2005,11.0,2,0,6,1,1,30,3
0,1,2014,15.0,6,0,6,2,1,30,3
2,1,2011,11.0,3,0,3,1,2,30,3
802,97,2010,22.0,4,0,4,1,1,30,3
404,1,2009,17.0,5,0,3,2,1,30,3
6000,30,2010,6.0,5,0,4,2,1,30,3
4003,1,2012,12.0,5,407,3,1,1,30,2
1084,32,2007,11.0,5,0,3,2,1,60,3
226,46,2010,13.0,1,0,3,2,1,30,3
15,32,2012,14.0,4,0,3,1,2,60,3
3349,44,2011,18.0,5,0,4,1,1,60,2
487,60,2014,13.0,7,0,3,1,2,60,3
0,1,2013,16.0,5,0,6,2,1,30,3
107,1,2011,16.0,5,107,3,1,1,30,3
7001,34,2014,13.0,4,7033,6,2,1,30,3
0,62,2006,18.0,6,0,6,2,1,30,3
0,6,2014,10.0,4,0,5,3,1,30,3
920,92,2005,20.0,7,0,3,1,1,60,3
638,13,2011,17.0,7,0,3,1,1,30,2
0,13,2013,8.0,3,0,6,1,1,30,3
1346,95,2006,0.0,7,0,4,1,1,30,2
38,52,2005,17.0,2,0,3,2,1,30,3
0,97,2010,16.0,2,0,6,2,1,30,3
283,47,2006,12.0,6,0,3,2,3,60,3
71,95,2014,17.0,3,0,3,2,1,40,3
0,1,2013,9.0,7,0,5,2,1,30,3
12,37,2012,12.0,3,0,5,2,1,30,3
603,35,2006,10.0,6,0,3,1,1,30,2
140,36,2014,14.0,7,1108,3,2,1,40,3
400,1,2012,11.0,5,400,3,1,1,30,3
6106,14,2006,12.0,6,0,4,2,1,60,1
0,20,2011,15.0,6,0,6,2,3,30,3
38,20,2006,7.0,2,0,3,2,2,30,3
2150,44,2013,17.0,1,0,4,1,1,40,3
5400,45,2006,17.0,4,3100,6,2,2,30,3
493,60,2012,16.0,3,0,3,2,1,30,3
4,43,2005,16.0,5,0,1,1,2,70,3
483,22,2014,14.0,4,0,3,2,1,50,3
0,1,2013,15.0,6,0,5,2,1,30,3
15,32,2006,9.0,3,1202,3,2,1,30,3
6053,6,2005,21.0,1,0,3,2,1,30,3
347,55,2013,16.0,2,3073,3,2,1,40,2
5465,6,2011,8.0,4,0,4,2,1,30,3
300,1,2010,17.0,2,0,4,2,1,30,3
0,20,2006,17.0,4,0,6,1,1,30,2
32,44,2011,14.0,6,0,3,1,1,40,2
127,42,2013,14.0,1,1015,3,2,1,40,3
452,20,2009,19.0,6,0,3,2,2,50,3
82,97,2009,18.0,1,0,3,1,1,30,3
1000,1,2005,1.0,7,1000,3,2,1,30,3
4020,1,2013,15.0,3,0,3,2,1,30,3
321,55,2010,23.0,7,0,5,1,1,30,3
25,45,2009,18.0,6,227,3,1,1,30,3
113,32,2010,19.0,4,0,5,2,4,60,2
76,98,2010,15.0,2,0,3,2,2,60,3
0,92,2014,18.0,4,0,6,1,1,30,3
0,13,2009,14.0,2,0,6,2,1,30,3
0,31,2011,14.0,1,52,6,4,1,40,2
0,50,2007,17.0,3,0,6,2,1,60,3
193,10,2013,20.0,4,0,3,1,1,30,3
417,43,2009,21.0,7,-1,3,2,2,60,3
5,52,2010,15.0,6,0,1,6,6,70,3
0,50,2014,11.0,7,0,6,2,1,60,3
606,41,2005,16.0,2,0,6,1,1,40,3
596,3,2005,10.0,3,597,3,2,1,40,3
0,50,2010,15.0,2,0,6,1,1,30,3
6131,14,2005,11.0,5,0,4,2,1,30,3
0,4,2012,17.0,4,0,6,1,1,30,3
58,6,2013,12.0,1,0,3,2,1,30,3
271,47,2006,16.0,7,0,3,1,2,60,2
10,1,2012,21.0,4,0,3,2,1,30,2
0,16,2005,9.0,3,0,6,2,1,30,3
26,46,2007,16.0,3,0,3,3,2,30,3
0,1,2013,18.0,2,0,5,2,1,30,3
19,14,2005,22.0,1,0,3,2,2,30,3
404,1,2005,23.0,4,0,3,2,1,30,3
0,50,2006,13.0,2,0,6,2,3,60,3
0,13,2014,17.0,5,0,6,1,1,30,3
90,94,2009,14.0,6,0,3,2,1,50,3
947,92,2013,18.0,2,0,3,2,2,60,2
4099,10,2012,20.0,7,0,6,1,1,30,3
38,31,2007,9.0,3,6009,3,1,1,40,3
580,5,2012,15.0,4,0,3,2,1,30,3
1,33,2010,2.0,3,0,1,1,1,70,3
47,36,2007,23.0,2,0,3,1,1,60,3
1185,17,2009,18.0,5,148,3,2,2,50,3
478,63,2009,18.0,4,0,3,3,1,60,3
426,10,2005,0.0,6,0,6,2,2,30,2
27,47,2009,9.0,6,285,3,2,1,70,3
58,6,2009,15.0,1,0,3,2,2,30,3
14,34,2014,12.0,3,5199,3,2,1,40,3
132,41,2012,17.0,6,0,6,3,2,30,3
50,30,2010,8.0,2,0,3,3,2,70,3
340,43,2009,16.0,6,7123,3,2,1,50,3
0,42,2012,15.0,3,0,6,1,1,30,3
422,43,2009,8.0,6,12,3,4,2,60,3
0,55,2014,19.0,1,0,6,1,1,60,3
